Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
120,90.14423076923077,mimic,KRUM,Baseline,0,0.005
150,91.04567307692308,mimic,KRUM,Baseline,0,0.005
180,92.24759615384616,mimic,KRUM,Baseline,0,0.005
210,92.42788461538461,mimic,KRUM,Baseline,0,0.005
240,92.6582532051282,mimic,KRUM,Baseline,0,0.005
270,93.91025641025641,mimic,KRUM,Baseline,0,0.005
300,93.80008012820512,mimic,KRUM,Baseline,0,0.005
330,94.47115384615384,mimic,KRUM,Baseline,0,0.005
360,94.97195512820512,mimic,KRUM,Baseline,0,0.005
390,94.95192307692308,mimic,KRUM,Baseline,0,0.005
420,95.3525641025641,mimic,KRUM,Baseline,0,0.005
450,95.12219551282051,mimic,KRUM,Baseline,0,0.005
480,95.65304487179488,mimic,KRUM,Baseline,0,0.005
510,95.93349358974359,mimic,KRUM,Baseline,0,0.005
540,95.71314102564102,mimic,KRUM,Baseline,0,0.005
570,96.0136217948718,mimic,KRUM,Baseline,0,0.005
600,95.81330128205128,mimic,KRUM,Baseline,0,0.005
630,96.18389423076923,mimic,KRUM,Baseline,0,0.005
660,96.30408653846153,mimic,KRUM,Baseline,0,0.005
690,96.43429487179488,mimic,KRUM,Baseline,0,0.005
720,96.53445512820512,mimic,KRUM,Baseline,0,0.005
750,96.35416666666667,mimic,KRUM,Baseline,0,0.005
780,96.61458333333333,mimic,KRUM,Baseline,0,0.005
810,96.86498397435898,mimic,KRUM,Baseline,0,0.005
840,96.88501602564102,mimic,KRUM,Baseline,0,0.005
870,97.04527243589743,mimic,KRUM,Baseline,0,0.005
900,97.00520833333333,mimic,KRUM,Baseline,0,0.005
930,97.17548076923077,mimic,KRUM,Baseline,0,0.005
960,97.2255608974359,mimic,KRUM,Baseline,0,0.005
990,97.03525641025641,mimic,KRUM,Baseline,0,0.005
1020,97.15544871794872,mimic,KRUM,Baseline,0,0.005
1050,97.01522435897436,mimic,KRUM,Baseline,0,0.005
1080,97.41586538461539,mimic,KRUM,Baseline,0,0.005
1110,97.37580128205128,mimic,KRUM,Baseline,0,0.005
1140,97.54607371794872,mimic,KRUM,Baseline,0,0.005
1170,97.51602564102564,mimic,KRUM,Baseline,0,0.005
1200,97.60616987179488,mimic,KRUM,Baseline,0,0.005
1230,97.5761217948718,mimic,KRUM,Baseline,0,0.005
1260,97.3056891025641,mimic,KRUM,Baseline,0,0.005
1290,97.32572115384616,mimic,KRUM,Baseline,0,0.005
1320,97.7764423076923,mimic,KRUM,Baseline,0,0.005
1350,97.60616987179488,mimic,KRUM,Baseline,0,0.005
1380,97.74639423076923,mimic,KRUM,Baseline,0,0.005
1410,97.87660256410257,mimic,KRUM,Baseline,0,0.005
1440,97.66626602564102,mimic,KRUM,Baseline,0,0.005
1470,97.93669871794872,mimic,KRUM,Baseline,0,0.005
1500,98.09695512820512,mimic,KRUM,Baseline,0,0.005
30,79.2568108974359,mimic,CM,Baseline,0,0.01
60,88.52163461538461,mimic,CM,Baseline,0,0.01
90,90.69511217948718,mimic,CM,Baseline,0,0.01
120,92.68830128205128,mimic,CM,Baseline,0,0.01
150,93.02884615384616,mimic,CM,Baseline,0,0.01
180,94.11057692307692,mimic,CM,Baseline,0,0.01
210,94.20072115384616,mimic,CM,Baseline,0,0.01
240,94.60136217948718,mimic,CM,Baseline,0,0.01
