Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
210,70.28245192307692,BF,RFA,0.3,0.5,42
240,68.56971153846153,BF,RFA,0.3,0.5,42
270,72.78645833333333,BF,RFA,0.3,0.5,42
300,69.79166666666667,BF,RFA,0.3,0.5,42
330,67.86858974358974,BF,RFA,0.3,0.5,42
360,66.55649038461539,BF,RFA,0.3,0.5,42
390,71.55448717948718,BF,RFA,0.3,0.5,42
420,67.16746794871794,BF,RFA,0.3,0.5,42
450,69.82171474358974,BF,RFA,0.3,0.5,42
480,68.94030448717949,BF,RFA,0.3,0.5,42
510,72.32572115384616,BF,RFA,0.3,0.5,42
540,71.15384615384616,BF,RFA,0.3,0.5,42
570,68.89022435897436,BF,RFA,0.3,0.5,42
600,62.34975961538461,BF,RFA,0.3,0.5,42
30,5.358573717948718,BF,RFA,0.9,0.001,42
60,4.447115384615385,BF,RFA,0.9,0.001,42
90,4.296875,BF,RFA,0.9,0.001,42
120,4.967948717948718,BF,RFA,0.9,0.001,42
150,6.119791666666667,BF,RFA,0.9,0.001,42
180,7.441907051282051,BF,RFA,0.9,0.001,42
210,8.723958333333334,BF,RFA,0.9,0.001,42
240,9.935897435897436,BF,RFA,0.9,0.001,42
270,11.278044871794872,BF,RFA,0.9,0.001,42
300,12.439903846153847,BF,RFA,0.9,0.001,42
330,13.44150641025641,BF,RFA,0.9,0.001,42
360,14.513221153846153,BF,RFA,0.9,0.001,42
390,15.224358974358974,BF,RFA,0.9,0.001,42
420,16.03565705128205,BF,RFA,0.9,0.001,42
450,16.676682692307693,BF,RFA,0.9,0.001,42
480,17.227564102564102,BF,RFA,0.9,0.001,42
510,17.89863782051282,BF,RFA,0.9,0.001,42
540,18.479567307692307,BF,RFA,0.9,0.001,42
570,18.91025641025641,BF,RFA,0.9,0.001,42
600,19.431089743589745,BF,RFA,0.9,0.001,42
30,9.425080128205128,BF,RFA,0.95,0.001,256
60,11.268028846153847,BF,RFA,0.95,0.001,256
90,12.59014423076923,BF,RFA,0.95,0.001,256
120,13.872195512820513,BF,RFA,0.95,0.001,256
150,15.014022435897436,BF,RFA,0.95,0.001,256
180,16.235977564102566,BF,RFA,0.95,0.001,256
210,17.307692307692307,BF,RFA,0.95,0.001,256
240,18.239182692307693,BF,RFA,0.95,0.001,256
270,19.080528846153847,BF,RFA,0.95,0.001,256
300,19.85176282051282,BF,RFA,0.95,0.001,256
330,20.52283653846154,BF,RFA,0.95,0.001,256
360,21.16386217948718,BF,RFA,0.95,0.001,256
390,21.824919871794872,BF,RFA,0.95,0.001,256
420,22.345753205128204,BF,RFA,0.95,0.001,256
450,22.826522435897434,BF,RFA,0.95,0.001,256
480,23.20713141025641,BF,RFA,0.95,0.001,256
510,23.657852564102566,BF,RFA,0.95,0.001,256
540,24.088541666666668,BF,RFA,0.95,0.001,256
570,24.599358974358974,BF,RFA,0.95,0.001,256
600,25.0,BF,RFA,0.95,0.001,256
30,55.65905448717949,BF,RFA,0.0,0.05,256
60,57.20152243589744,BF,RFA,0.0,0.05,256
90,59.94591346153846,BF,RFA,0.0,0.05,256
120,64.03245192307692,BF,RFA,0.0,0.05,256
150,67.23758012820512,BF,RFA,0.0,0.05,256
180,70.65304487179488,BF,RFA,0.0,0.05,256
210,73.99839743589743,BF,RFA,0.0,0.05,256
240,72.17548076923077,BF,RFA,0.0,0.05,256
270,73.22716346153847,BF,RFA,0.0,0.05,256
300,73.88822115384616,BF,RFA,0.0,0.05,256
330,74.89983974358974,BF,RFA,0.0,0.05,256
360,75.75120192307692,BF,RFA,0.0,0.05,256
390,76.07171474358974,BF,RFA,0.0,0.05,256
420,76.03165064102564,BF,RFA,0.0,0.05,256
450,76.43229166666667,BF,RFA,0.0,0.05,256
480,76.49238782051282,BF,RFA,0.0,0.05,256
510,76.6426282051282,BF,RFA,0.0,0.05,256
540,77.35376602564102,BF,RFA,0.0,0.05,256
570,77.37379807692308,BF,RFA,0.0,0.05,256
600,77.52403846153847,BF,RFA,0.0,0.05,256
30,9.164663461538462,BF,RFA,0.0,0.001,0
60,10.06610576923077,BF,RFA,0.0,0.001,0
90,11.107772435897436,BF,RFA,0.0,0.001,0
120,11.80889423076923,BF,RFA,0.0,0.001,0
150,12.530048076923077,BF,RFA,0.0,0.001,0
180,13.100961538461538,BF,RFA,0.0,0.001,0
210,13.681891025641026,BF,RFA,0.0,0.001,0
240,14.002403846153847,BF,RFA,0.0,0.001,0
270,14.473157051282051,BF,RFA,0.0,0.001,0
